MC,,5,What is the primary goal of the Genealogical Proof Standard?,2,"To ensure genealogical findings are based solely on one definitive source, typically a government-issued certificate.","To establish that genealogical conclusions are based on sound research, accurate sources, and logical reasoning.",To promote visual consistency in family tree charts across genealogical communities for publication.,To enforce that only certified professionals are permitted to publish genealogical conclusions in public forums.,
MC,,5,Which of the following best represents reasonably exhaustive research?,3,"Limiting the scope to records that are digitally indexed, assuming others are less relevant or inaccessible.",Prioritizing modern DNA tools over traditional documents when drawing conclusions about relationships.,"Investigating multiple, diverse sources—including conflicting ones—until no new relevant evidence is expected.",Confirming a match through online trees without checking whether they contain original sources.,
MC,,5,Why is citation a necessary element in genealogical research?,2,Because citations are optional for informal research shared only with family members.,"Because it enables others to verify, evaluate, and replicate the research conclusions drawn.","Because the citation style demonstrates academic pedigree, even if sources are not accessible.",Because only citations from peer-reviewed journals are necessary to support conclusions.,
MC,,5,What does it mean to correlate sources and evidence in genealogy?,4,To sort all records in a chronological list before beginning analysis or drawing conclusions.,To tag sources with numerical ratings to assess their perceived reliability in a visual grid.,To prioritize official government documents over private records when weighing evidence.,"To compare and synthesize information across multiple sources to identify patterns, gaps, and inconsistencies.",
MC,,5,What is the correct response when genealogical evidence from two reliable sources contradicts?,1,"Analyze the conflict and attempt to resolve it using context, reliability, and corroboration from other sources.","Favor the most frequently cited version of the event in online trees, even if no original source is present.",Assume the version that aligns most closely with family oral tradition is inherently more trustworthy.,Present both sources as equally valid without further inquiry into reliability or context.,
MC,,5,What defines a ‘reasonably exhaustive search’?,3,Consulting records for a limited time period around a known date and ceasing further exploration.,"Confirming that a single online tree with complete lineage exists, then using that information directly.","Considering all relevant records likely to shed light on the question, including negative and conflicting evidence.",Identifying at least one official government-issued certificate that supports a genealogical claim.,
MC,,5,Why should genealogists include negative evidence in their analysis?,1,Because the absence of expected information in a source can provide valuable insight or raise critical questions.,"Because citations are strengthened by mentioning every source that was viewed, regardless of content.",Because it helps maintain a standardized length for research summaries and client reports.,Because omitting evidence that yields no result can suggest bias or selective reporting of sources.,
MC,,5,What makes a genealogical conclusion ‘soundly reasoned’?,2,"It follows a linear timeline and includes one strong, original source to validate the claim.","It is logically constructed, supported by multiple forms of evidence, and addresses ambiguities or conflicts.",It reflects the oldest known story passed down through generations without deviation.,"It is confirmed by at least one other researcher, regardless of the documentation they used.",
MC,,5,What role does context play in source analysis?,3,It allows the researcher to identify whether the handwriting and format match modern standards.,It helps researchers determine whether the original or a transcript version of a record is preferable.,It reveals whether the source was created near the time of the event and under what circumstances it was recorded.,It determines the number of generations between the informant and the subject of the record.,
MC,,5,Which best exemplifies accurate source citation?,2,"Including just the name of the individual, the record title, and the year of the event.","Providing complete details: type of record, where it was found, when it was accessed, and any digital locator.",Describing the general source repository instead of specifying individual record collections.,"Limiting citations to only those sources that were used in drawing final conclusions, not exploratory steps.",
